Grasp No.,Physical?,RespondentID,StartDate,IP Address,Survey No.,Survey No. Cumulative,Yes/No Order,Rating Value,Successful?,Expirimental
33,1,2420888694,41288.53313,74.193.87.170,7,7,2,0.25,0,0.75
33,1,2420861095,41288.51144,216.119.18.14,7,7,2,0.75,1,0.75
33,1,2420845954,41288.49848,99.73.182.81,7,7,2,0.75,1,0.75
33,1,2420751154,41288.40244,173.86.142.88,7,7,2,0.25,0,0.75
33,1,2420736328,41288.38684,108.244.230.90,7,7,2,0.75,0,0.75
33,1,2420729152,41288.37847,207.181.244.89,7,7,2,0.5,0,0.75
36,1,2421151954,41288.65093,208.108.81.45,8,8,1,1,1,1
36,1,2421004333,41288.59417,72.202.155.18,8,8,1,0.5,1,1
36,1,2420983265,41288.58506,70.226.165.24,8,8,1,0.75,0,1
36,1,2420982518,41288.58479,99.109.96.242,8,8,1,0.5,0,1
36,1,2420977279,41288.58241,173.59.3.111,8,8,1,0.75,1,1
36,1,2420888694,41288.53313,74.193.87.170,8,8,1,0.75,1,1
36,1,2420861095,41288.51144,216.119.18.14,8,8,1,0.75,1,1
36,1,2420845954,41288.49848,99.73.182.81,8,8,1,0.75,1,1
36,1,2420751154,41288.40244,173.86.142.88,8,8,1,0.25,0,1
36,1,2420736328,41288.38684,108.244.230.90,8,8,1,0.75,1,1
36,1,2420729152,41288.37847,207.181.244.89,8,8,1,0.5,1,1
46,1,2421151954,41288.65093,208.108.81.45,9,9,2,1,1,0
46,1,2421004333,41288.59417,72.202.155.18,9,9,2,0.75,0,0
46,1,2420983265,41288.58506,70.226.165.24,9,9,2,0.75,1,0
46,1,2420982518,41288.58479,99.109.96.242,9,9,2,0.5,0,0
46,1,2420888694,41288.53313,74.193.87.170,9,9,2,0.75,1,0
46,1,2420861095,41288.51144,216.119.18.14,9,9,2,0.5,1,0
46,1,2420845954,41288.49848,99.73.182.81,9,9,2,0.75,1,0
46,1,2420751154,41288.40244,173.86.142.88,9,9,2,0.25,0,0
46,1,2420736328,41288.38684,108.244.230.90,9,9,2,0.75,1,0
46,1,2420729152,41288.37847,207.181.244.89,9,9,2,0.5,1,0
11,1,2421151954,41288.65093,208.108.81.45,10,10,1,0.5,0,0
11,1,2421004333,41288.59417,72.202.155.18,10,10,1,0.25,0,0
11,1,2420983265,41288.58506,70.226.165.24,10,10,1,0.25,0,0
11,1,2420982518,41288.58479,99.109.96.242,10,10,1,0.5,0,0
11,1,2420888694,41288.53313,74.193.87.170,10,10,1,0.25,0,0
11,1,2420861095,41288.51144,216.119.18.14,10,10,1,0.5,1,0
11,1,2420845954,41288.49848,99.73.182.81,10,10,1,0.25,0,0
11,1,2420751154,41288.40244,173.86.142.88,10,10,1,0.25,0,0
11,1,2420736328,41288.38684,108.244.230.90,10,10,1,0.75,1,0
11,1,2420729152,41288.37847,207.181.244.89,10,10,1,0.25,0,0
15,1,2421151954,41288.65093,208.108.81.45,11,11,2,0.75,1,1
15,1,2421004333,41288.59417,72.202.155.18,11,11,2,0.75,0,1
15,1,2420983265,41288.58506,70.226.165.24,11,11,2,0,0,1
15,1,2420982518,41288.58479,99.109.96.242,11,11,2,0.5,0,1
15,1,2420888694,41288.53313,74.193.87.170,11,11,2,0.75,1,1
15,1,2420861095,41288.51144,216.119.18.14,11,11,2,0.75,1,1
15,1,2420845954,41288.49848,99.73.182.81,11,11,2,0.75,1,1
15,1,2420751154,41288.40244,173.86.142.88,11,11,2,0.25,0,1
15,1,2420736328,41288.38684,108.244.230.90,11,11,2,0.75,1,1
15,1,2420729152,41288.37847,207.181.244.89,11,11,2,0.5,1,1
64,1,2421151954,41288.65093,208.108.81.45,12,12,2,1,0,0.25
64,1,2421004333,41288.59417,72.202.155.18,12,12,2,1,1,0.25
64,1,2420983265,41288.58506,70.226.165.24,12,12,2,1,1,0.25
64,1,2420982518,41288.58479,99.109.96.242,12,12,2,1,1,0.25
64,1,2420888694,41288.53313,74.193.87.170,12,12,2,1,1,0.25
64,1,2420861095,41288.51144,216.119.18.14,12,12,2,0.75,1,0.25
64,1,2420845954,41288.49848,99.73.182.81,12,12,2,1,1,0.25
64,1,2420751154,41288.40244,173.86.142.88,12,12,2,1,1,0.25
64,1,2420736328,41288.38684,108.244.230.90,12,12,2,1,1,0.25
64,1,2420729152,41288.37847,207.181.244.89,12,12,2,1,1,0.25
44,1,2421151954,41288.65093,208.108.81.45,13,13,1,0.25,0,0.25
44,1,2421004333,41288.59417,72.202.155.18,13,13,1,1,1,0.25
44,1,2420983265,41288.58506,70.226.165.24,13,13,1,0.75,0,0.25
44,1,2420982518,41288.58479,99.109.96.242,13,13,1,0.75,0,0.25
44,1,2420888694,41288.53313,74.193.87.170,13,13,1,0.5,0,0.25
44,1,2420861095,41288.51144,216.119.18.14,13,13,1,0.75,1,0.25
44,1,2420845954,41288.49848,99.73.182.81,13,13,1,0.5,0,0.25
44,1,2420751154,41288.40244,173.86.142.88,13,13,1,0.25,0,0.25
44,1,2420736328,41288.38684,108.244.230.90,13,13,1,0.75,1,0.25
44,1,2420729152,41288.37847,207.181.244.89,13,13,1,0.75,1,0.25
43,1,2421151954,41288.65093,208.108.81.45,14,14,2,1,0,0.63
43,1,2421004333,41288.59417,72.202.155.18,14,14,2,0,0,0.63
43,1,2420983265,41288.58506,70.226.165.24,14,14,2,0.75,0,0.63
43,1,2420982518,41288.58479,99.109.96.242,14,14,2,0.5,0,0.63
43,1,2420888694,41288.53313,74.193.87.170,14,14,2,0.75,1,0.63
43,1,2420861095,41288.51144,216.119.18.14,14,14,2,0.75,1,0.63
43,1,2420845954,41288.49848,99.73.182.81,14,14,2,0.75,1,0.63
43,1,2420751154,41288.40244,173.86.142.88,14,14,2,0.25,0,0.63
43,1,2420736328,41288.38684,108.244.230.90,14,14,2,0.75,1,0.63
43,1,2420729152,41288.37847,207.181.244.89,14,14,2,0.5,1,0.63
28,1,2421151954,41288.65093,208.108.81.45,15,15,1,0,0,0
28,1,2421004333,41288.59417,72.202.155.18,15,15,1,0.5,0,0
28,1,2420983265,41288.58506,70.226.165.24,15,15,1,0,0,0
28,1,2420982518,41288.58479,99.109.96.242,15,15,1,0,0,0
28,1,2420888694,41288.53313,74.193.87.170,15,15,1,0,0,0
28,1,2420861095,41288.51144,216.119.18.14,15,15,1,0.25,0,0
28,1,2420845954,41288.49848,99.73.182.81,15,15,1,0,0,0
28,1,2420751154,41288.40244,173.86.142.88,15,15,1,0,0,0
28,1,2420736328,41288.38684,108.244.230.90,15,15,1,0,0,0
28,1,2420729152,41288.37847,207.181.244.89,15,15,1,0,0,0
58,1,2421151954,41288.65093,208.108.81.45,16,16,1,0.25,0,0
58,1,2421004333,41288.59417,72.202.155.18,16,16,1,0,0,0
58,1,2420983265,41288.58506,70.226.165.24,16,16,1,0,0,0
58,1,2420982518,41288.58479,99.109.96.242,16,16,1,0.5,0,0
58,1,2420888694,41288.53313,74.193.87.170,16,16,1,0,0,0
58,1,2420861095,41288.51144,216.119.18.14,16,16,1,0.25,0,0
58,1,2420845954,41288.49848,99.73.182.81,16,16,1,0,0,0
58,1,2420751154,41288.40244,173.86.142.88,16,16,1,0.25,0,0
58,1,2420736328,41288.38684,108.244.230.90,16,16,1,0,0,0
58,1,2420729152,41288.37847,207.181.244.89,16,16,1,0,0,0
54,1,2421151954,41288.65093,208.108.81.45,17,17,2,0.75,1,0.88
54,1,2421004333,41288.59417,72.202.155.18,17,17,2,0.25,0,0.88
54,1,2420983265,41288.58506,70.226.165.24,17,17,2,1,0,0.88
54,1,2420982518,41288.58479,99.109.96.242,17,17,2,0.75,1,0.88
54,1,2420888694,41288.53313,74.193.87.170,17,17,2,0.5,0,0.88
54,1,2420861095,41288.51144,216.119.18.14,17,17,2,0.75,1,0.88
54,1,2420845954,41288.49848,99.73.182.81,17,17,2,0.75,1,0.88
54,1,2420751154,41288.40244,173.86.142.88,17,17,2,0.25,0,0.88
54,1,2420736328,41288.38684,108.244.230.90,17,17,2,0.75,1,0.88
54,1,2420729152,41288.37847,207.181.244.89,17,17,2,0.75,1,0.88
51,1,2421151954,41288.65093,208.108.81.45,18,18,1,1,0,1
51,1,2421004333,41288.59417,72.202.155.18,18,18,1,1,1,1
51,1,2420983265,41288.58506,70.226.165.24,18,18,1,1,1,1
51,1,2420982518,41288.58479,99.109.96.242,18,18,1,1,1,1
51,1,2420888694,41288.53313,74.193.87.170,18,18,1,0.75,1,1
51,1,2420861095,41288.51144,216.119.18.14,18,18,1,0.75,1,1
51,1,2420845954,41288.49848,99.73.182.81,18,18,1,1,1,1
51,1,2420751154,41288.40244,173.86.142.88,18,18,1,0.75,1,1
51,1,2420736328,41288.38684,108.244.230.90,18,18,1,1,1,1
51,1,2420729152,41288.37847,207.181.244.89,18,18,1,1,1,1
22,1,2421151954,41288.65093,208.108.81.45,19,19,2,0.75,1,1
22,1,2421004333,41288.59417,72.202.155.18,19,19,2,1,1,1
22,1,2420983265,41288.58506,70.226.165.24,19,19,2,0.75,1,1
22,1,2420982518,41288.58479,99.109.96.242,19,19,2,1,1,1
22,1,2420888694,41288.53313,74.193.87.170,19,19,2,0.5,1,1
22,1,2420861095,41288.51144,216.119.18.14,19,19,2,0.75,1,1
22,1,2420845954,41288.49848,99.73.182.81,19,19,2,1,1,1
22,1,2420751154,41288.40244,173.86.142.88,19,19,2,0.75,1,1
22,1,2420736328,41288.38684,108.244.230.90,19,19,2,0.75,1,1
22,1,2420729152,41288.37847,207.181.244.89,19,19,2,1,1,1
48,1,2421151954,41288.65093,208.108.81.45,20,20,2,0.5,1,0
48,1,2421004333,41288.59417,72.202.155.18,20,20,2,0.25,0,0
48,1,2420983265,41288.58506,70.226.165.24,20,20,2,0.25,0,0
48,1,2420982518,41288.58479,99.109.96.242,20,20,2,0.75,1,0
48,1,2420888694,41288.53313,74.193.87.170,20,20,2,0,0,0
48,1,2420861095,41288.51144,216.119.18.14,20,20,2,0.25,0,0
48,1,2420845954,41288.49848,99.73.182.81,20,20,2,0.25,0,0
48,1,2420751154,41288.40244,173.86.142.88,20,20,2,0.25,0,0
48,1,2420736328,41288.38684,108.244.230.90,20,20,2,0.25,0,0
48,1,2420729152,41288.37847,207.181.244.89,20,20,2,0.25,0,0
62,1,2421151954,41288.65093,208.108.81.45,21,21,1,0,0,0.13
62,1,2421004333,41288.59417,72.202.155.18,21,21,1,0.25,0,0.13
62,1,2420983265,41288.58506,70.226.165.24,21,21,1,0.75,0,0.13
62,1,2420982518,41288.58479,99.109.96.242,21,21,1,0.75,1,0.13
62,1,2420888694,41288.53313,74.193.87.170,21,21,1,0.75,1,0.13
62,1,2420861095,41288.51144,216.119.18.14,21,21,1,0.75,1,0.13
62,1,2420845954,41288.49848,99.73.182.81,21,21,1,0.75,1,0.13
62,1,2420751154,41288.40244,173.86.142.88,21,21,1,0.75,1,0.13
62,1,2420736328,41288.38684,108.244.230.90,21,21,1,1,1,0.13
62,1,2420729152,41288.37847,207.181.244.89,21,21,1,1,1,0.13
34,1,2421151954,41288.65093,208.108.81.45,22,22,1,0.5,0,1
34,1,2421004333,41288.59417,72.202.155.18,22,22,1,1,0,1
34,1,2420983265,41288.58506,70.226.165.24,22,22,1,1,1,1
34,1,2420982518,41288.58479,99.109.96.242,22,22,1,0.5,0,1
34,1,2420888694,41288.53313,74.193.87.170,22,22,1,1,0,1
34,1,2420861095,41288.51144,216.119.18.14,22,22,1,0.75,0,1
34,1,2420845954,41288.49848,99.73.182.81,22,22,1,1,1,1
34,1,2420751154,41288.40244,173.86.142.88,22,22,1,0.5,0,1
34,1,2420736328,41288.38684,108.244.230.90,22,22,1,1,1,1
34,1,2420729152,41288.37847,207.181.244.89,22,22,1,1,0,1
63,1,2421151954,41288.65093,208.108.81.45,23,23,1,0.5,1,0
63,1,2421004333,41288.59417,72.202.155.18,23,23,1,0.75,1,0
63,1,2420983265,41288.58506,70.226.165.24,23,23,1,0.25,0,0
63,1,2420982518,41288.58479,99.109.96.242,23,23,1,0.5,0,0
63,1,2420888694,41288.53313,74.193.87.170,23,23,1,0.5,0,0
63,1,2420861095,41288.51144,216.119.18.14,23,23,1,0.75,1,0
63,1,2420845954,41288.49848,99.73.182.81,23,23,1,0.25,0,0
63,1,2420751154,41288.40244,173.86.142.88,23,23,1,0.5,0,0
63,1,2420736328,41288.38684,108.244.230.90,23,23,1,0.5,0,0
63,1,2420729152,41288.37847,207.181.244.89,23,23,1,0.5,0,0
32,1,2421151954,41288.65093,208.108.81.45,24,24,1,0.75,0,1
32,1,2421004333,41288.59417,72.202.155.18,24,24,1,1,0,1
32,1,2420983265,41288.58506,70.226.165.24,24,24,1,0.75,0,1
32,1,2420982518,41288.58479,99.109.96.242,24,24,1,0.5,0,1
32,1,2420888694,41288.53313,74.193.87.170,24,24,1,0.75,0,1
32,1,2420861095,41288.51144,216.119.18.14,24,24,1,0.5,0,1
32,1,2420845954,41288.49848,99.73.182.81,24,24,1,0.25,0,1
32,1,2420751154,41288.40244,173.86.142.88,24,24,1,0.5,0,1
32,1,2420736328,41288.38684,108.244.230.90,24,24,1,0.75,1,1
32,1,2420729152,41288.37847,207.181.244.89,24,24,1,0.75,0,1
25,1,2421151954,41288.65093,208.108.81.45,25,25,1,1,1,0.13
25,1,2421004333,41288.59417,72.202.155.18,25,25,1,0.5,0,0.13
25,1,2420983265,41288.58506,70.226.165.24,25,25,1,0.25,0,0.13
25,1,2420982518,41288.58479,99.109.96.242,25,25,1,0.25,0,0.13
25,1,2420888694,41288.53313,74.193.87.170,25,25,1,0.25,0,0.13
25,1,2420861095,41288.51144,216.119.18.14,25,25,1,0.75,1,0.13
25,1,2420845954,41288.49848,99.73.182.81,25,25,1,0,0,0.13
25,1,2420751154,41288.40244,173.86.142.88,25,25,1,0.75,1,0.13
25,1,2420736328,41288.38684,108.244.230.90,25,25,1,0.25,0,0.13
25,1,2420729152,41288.37847,207.181.244.89,25,25,1,1,1,0.13
17,1,2421151954,41288.65093,208.108.81.45,26,26,1,0.5,1,0
17,1,2421004333,41288.59417,72.202.155.18,26,26,1,1,1,0
17,1,2420983265,41288.58506,70.226.165.24,26,26,1,0.5,0,0
17,1,2420982518,41288.58479,99.109.96.242,26,26,1,0.75,1,0
17,1,2420888694,41288.53313,74.193.87.170,26,26,1,0.5,1,0
17,1,2420861095,41288.51144,216.119.18.14,26,26,1,0.75,1,0
17,1,2420845954,41288.49848,99.73.182.81,26,26,1,0.75,1,0
17,1,2420751154,41288.40244,173.86.142.88,26,26,1,0.75,1,0
17,1,2420736328,41288.38684,108.244.230.90,26,26,1,0.75,1,0
17,1,2420729152,41288.37847,207.181.244.89,26,26,1,1,1,0
47,1,2421151954,41288.65093,208.108.81.45,27,27,1,1,0,0.75
47,1,2421004333,41288.59417,72.202.155.18,27,27,1,0,0,0.75
47,1,2420983265,41288.58506,70.226.165.24,27,27,1,0.75,1,0.75
47,1,2420982518,41288.58479,99.109.96.242,27,27,1,0.75,1,0.75
47,1,2420888694,41288.53313,74.193.87.170,27,27,1,0.5,1,0.75
47,1,2420861095,41288.51144,216.119.18.14,27,27,1,0.75,1,0.75
47,1,2420845954,41288.49848,99.73.182.81,27,27,1,0.5,1,0.75
47,1,2420751154,41288.40244,173.86.142.88,27,27,1,0.75,1,0.75
47,1,2420736328,41288.38684,108.244.230.90,27,27,1,0.75,1,0.75
47,1,2420729152,41288.37847,207.181.244.89,27,27,1,0.75,1,0.75
1,1,2421151954,41288.65093,208.108.81.45,28,28,1,0.25,0,1
1,1,2421004333,41288.59417,72.202.155.18,28,28,1,0.25,0,1
1,1,2420983265,41288.58506,70.226.165.24,28,28,1,0.75,0,1
1,1,2420982518,41288.58479,99.109.96.242,28,28,1,0.25,0,1
1,1,2420888694,41288.53313,74.193.87.170,28,28,1,0.25,0,1
1,1,2420861095,41288.51144,216.119.18.14,28,28,1,0.25,0,1
1,1,2420845954,41288.49848,99.73.182.81,28,28,1,0,0,1
1,1,2420751154,41288.40244,173.86.142.88,28,28,1,0.25,0,1
1,1,2420736328,41288.38684,108.244.230.90,28,28,1,0.25,0,1
1,1,2420729152,41288.37847,207.181.244.89,28,28,1,0,0,1
42,1,2421151954,41288.65093,208.108.81.45,29,29,1,0.75,0,0.5
42,1,2421004333,41288.59417,72.202.155.18,29,29,1,0.75,1,0.5
42,1,2420983265,41288.58506,70.226.165.24,29,29,1,0.75,1,0.5
42,1,2420982518,41288.58479,99.109.96.242,29,29,1,0.75,1,0.5
42,1,2420888694,41288.53313,74.193.87.170,29,29,1,0.25,1,0.5
42,1,2420861095,41288.51144,216.119.18.14,29,29,1,0.75,1,0.5
42,1,2420845954,41288.49848,99.73.182.81,29,29,1,0.75,1,0.5
42,1,2420751154,41288.40244,173.86.142.88,29,29,1,0.75,1,0.5
42,1,2420736328,41288.38684,108.244.230.90,29,29,1,0.5,1,0.5
42,1,2420729152,41288.37847,207.181.244.89,29,29,1,1,1,0.5
23,1,2421151954,41288.65093,208.108.81.45,30,30,2,0.75,1,1
23,1,2421004333,41288.59417,72.202.155.18,30,30,2,0.5,1,1
23,1,2420983265,41288.58506,70.226.165.24,30,30,2,1,1,1
23,1,2420982518,41288.58479,99.109.96.242,30,30,2,1,1,1
23,1,2420888694,41288.53313,74.193.87.170,30,30,2,0.5,1,1
23,1,2420861095,41288.51144,216.119.18.14,30,30,2,0.75,1,1
23,1,2420845954,41288.49848,99.73.182.81,30,30,2,0.75,1,1
23,1,2420751154,41288.40244,173.86.142.88,30,30,2,0.75,1,1
23,1,2420736328,41288.38684,108.244.230.90,30,30,2,0.75,1,1
23,1,2420729152,41288.37847,207.181.244.89,30,30,2,1,1,1
14,1,2421151954,41288.65093,208.108.81.45,31,31,2,0.75,1,1
14,1,2421004333,41288.59417,72.202.155.18,31,31,2,1,1,1
14,1,2420983265,41288.58506,70.226.165.24,31,31,2,0,0,1
14,1,2420982518,41288.58479,99.109.96.242,31,31,2,0.5,0,1
14,1,2420888694,41288.53313,74.193.87.170,31,31,2,0.25,0,1
14,1,2420861095,41288.51144,216.119.18.14,31,31,2,0.5,1,1
14,1,2420845954,41288.49848,99.73.182.81,31,31,2,0.75,1,1
14,1,2420751154,41288.40244,173.86.142.88,31,31,2,0.25,0,1
14,1,2420736328,41288.38684,108.244.230.90,31,31,2,0.5,0,1
14,1,2420729152,41288.37847,207.181.244.89,31,31,2,0.5,0,1
5,1,2421151954,41288.65093,208.108.81.45,32,32,1,0.5,0,0
5,1,2421004333,41288.59417,72.202.155.18,32,32,1,0.25,0,0
5,1,2420983265,41288.58506,70.226.165.24,32,32,1,0.25,0,0
5,1,2420982518,41288.58479,99.109.96.242,32,32,1,0,0,0
5,1,2420888694,41288.53313,74.193.87.170,32,32,1,0.25,0,0
5,1,2420861095,41288.51144,216.119.18.14,32,32,1,0.25,0,0
5,1,2420845954,41288.49848,99.73.182.81,32,32,1,0,0,0
5,1,2420751154,41288.40244,173.86.142.88,32,32,1,0.25,0,0
5,1,2420736328,41288.38684,108.244.230.90,32,32,1,0.25,0,0
5,1,2420729152,41288.37847,207.181.244.89,32,32,1,0,0,0
27,0,2429497581,41293.58176,96.39.123.248,1,97,1,0.75,1,1
27,0,2429480054,41293.55875,108.244.230.90,1,97,1,0.75,1,1
27,0,2429351794,41293.28035,108.70.31.103,1,97,1,0.75,1,1
27,0,2429351570,41293.27971,108.15.202.52,1,97,1,0.5,1,1
27,0,2429335615,41293.2423,68.188.153.50,1,97,1,1,1,1
27,0,2429314925,41293.20377,98.249.56.140,1,97,1,1,0,1
27,0,2429313914,41293.20203,74.98.170.46,1,97,1,0.75,1,1
27,0,2429306833,41293.19086,72.187.43.210,1,97,1,1,1,1
27,0,2429300801,41293.18159,107.10.170.107,1,97,1,0.75,1,1
27,0,2429288536,41293.16325,98.224.55.167,1,97,1,1,1,1
27,0,2429286224,41293.15984,166.137.122.242,1,97,1,0.75,1,1
27,0,2429283011,41293.15543,98.154.123.36,1,97,1,0.75,1,1
75,0,2429497581,41293.58176,96.39.123.248,2,98,1,0.75,1,0.63
75,0,2429480054,41293.55875,108.244.230.90,2,98,1,0.5,0,0.63
75,0,2429351794,41293.28035,108.70.31.103,2,98,1,0.5,0,0.63
75,0,2429351570,41293.27971,108.15.202.52,2,98,1,0,0,0.63
75,0,2429335615,41293.2423,68.188.153.50,2,98,1,0.75,1,0.63
75,0,2429313914,41293.20203,74.98.170.46,2,98,1,0.5,0,0.63
75,0,2429306833,41293.19086,72.187.43.210,2,98,1,0.75,1,0.63
75,0,2429300801,41293.18159,107.10.170.107,2,98,1,0.25,0,0.63
75,0,2429288536,41293.16325,98.224.55.167,2,98,1,0.75,1,0.63
75,0,2429286224,41293.15984,166.137.122.242,2,98,1,0.5,1,0.63
75,0,2429283011,41293.15543,98.154.123.36,2,98,1,0.5,1,0.63
5,0,2429497581,41293.58176,96.39.123.248,3,99,2,0.75,1,0
5,0,2429480054,41293.55875,108.244.230.90,3,99,2,0.5,0,0
5,0,2429351794,41293.28035,108.70.31.103,3,99,2,0.75,1,0
5,0,2429351570,41293.27971,108.15.202.52,3,99,2,0,0,0
5,0,2429335615,41293.2423,68.188.153.50,3,99,2,0.75,1,0
5,0,2429313914,41293.20203,74.98.170.46,3,99,2,0.75,1,0
5,0,2429306833,41293.19086,72.187.43.210,3,99,2,1,1,0
5,0,2429288536,41293.16325,98.224.55.167,3,99,2,1,0,0
5,0,2429286224,41293.15984,166.137.122.242,3,99,2,0.25,1,0
5,0,2429283011,41293.15543,98.154.123.36,3,99,2,0.5,0,0
54,0,2429497581,41293.58176,96.39.123.248,4,100,1,0.75,1,0.88
54,0,2429480054,41293.55875,108.244.230.90,4,100,1,0.5,0,0.88
54,0,2429351794,41293.28035,108.70.31.103,4,100,1,0.5,0,0.88
54,0,2429351570,41293.27971,108.15.202.52,4,100,1,0.75,0,0.88
54,0,2429335615,41293.2423,68.188.153.50,4,100,1,1,1,0.88
54,0,2429313914,41293.20203,74.98.170.46,4,100,1,1,1,0.88
54,0,2429306833,41293.19086,72.187.43.210,4,100,1,1,1,0.88
54,0,2429288536,41293.16325,98.224.55.167,4,100,1,1,0,0.88
54,0,2429286224,41293.15984,166.137.122.242,4,100,1,1,1,0.88
54,0,2429283011,41293.15543,98.154.123.36,4,100,1,0.5,0,0.88
23,0,2429497581,41293.58176,96.39.123.248,5,101,1,0.5,0,1
23,0,2429480054,41293.55875,108.244.230.90,5,101,1,0.75,1,1
